,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2000,38541,1,부메랑,김건모,발라드
1,2,2000,85257,1,바꿔,이정현,댄스
2,3,2000,91324,1,기억해,god,발라드
3,4,2000,85674,1,영원,스카이,"발라드, 록/메탈"
4,5,2000,91320,1,실연,KYT (코요태),댄스
5,6,2000,1139376,1,상처,조성모,댄스
6,7,2000,1564057,1,Believe,이수영,발라드
7,8,2000,83192,1,Zone,S.E.S.,댄스
8,9,2000,85844,1,Day,포지션,록/메탈
9,10,2000,489866,1,비젼,유승준,댄스
10,11,2000,37992,1,Day,김장훈,발라드
11,12,2000,611100,1,그대로,이소라,발라드
12,13,2000,1087403,1,가니,진주,발라드
13,14,2000,38210,1,이해할께,김현성,발라드
14,15,2000,86166,1,Day,플라이 투 더 스카이,R&B/Soul
15,16,2000,621665,1,Day,플라이 투 더 스카이,R&B/Soul
16,17,2000,1816948,1,Heaven,조성모,발라드
17,18,2000,62185,1,크로스,엄정화,댄스
18,19,2000,3105064,1,21C,엑스틴,랩/힙합
19,20,2000,1734400,1,(타이틀),조관우,발라드
20,21,2000,86076,1,가까이,샵,댄스
21,22,2000,86104,1,Paradoxxx,업타운,랩/힙합
22,23,2000,8473,1,랄랄라,긱스,록/메탈
23,24,2000,91317,1,신부에게,유리상자,발라드
24,25,2000,494157,1,알아요,양파,발라드
25,26,2000,85854,1,(White),핑클 (Fin.K.L),댄스
26,27,2000,480245,1,Will,유승준,댄스
27,28,2000,85900,1,고백,박혜경,록/메탈
28,29,2000,85311,1,나비,자우림,록/메탈
29,30,2000,84845,1,사랑,박완규,록/메탈
30,31,2000,422691,1,밤,조성모,발라드
31,32,2000,84779,1,Up!),H.O.T.,댄스
32,33,2000,104677,1,각인,서문탁,록/메탈
33,34,2000,1516879,1,남자,스페이스 에이,댄스
34,35,2000,611574,1,More,이승환,록/메탈
35,36,2000,489869,1,연가,유승준,댄스
36,37,2000,1816950,1,사랑,조성모,발라드
37,38,2000,104083,1,있을지라도,김광민,뉴에이지
38,39,2000,84207,1,하루,타샤니,랩/힙합
39,40,2000,105690,1,Prince),핑클 (Fin.K.L),발라드
40,41,2000,81926,1,부담,백지영,댄스
41,42,2000,85843,1,시간,핑클 (Fin.K.L),댄스
42,43,2000,88292,1,Baddest,안재욱,발라드
43,44,2000,104673,1,않는...,서문탁,록/메탈
44,45,2000,1698079,1,애수(哀愁),이문세,발라드
45,46,2000,85022,1,Face,엔알지 (NRG),댄스
46,47,2000,83646,1,무정(無情),채정안,댄스
47,48,2000,83693,1,예감,젝스키스,댄스
48,49,2000,607443,1,Sheep),H.O.T.,댄스
49,50,2000,1514177,1,Bell,SMTOWN,-
50,51,2000,85258,1,와,이정현,댄스
51,52,2000,82424,1,Ⅲ,K2 김성면,록/메탈
52,53,2000,84209,1,경고,타샤니,랩/힙합
53,54,2000,9879,1,飛上(비상),주석,랩/힙합
54,55,2000,1698078,1,이소라),이문세,발라드
55,56,2000,85508,1,처(處),정선연,발라드
56,57,2000,86004,1,T.T,야다 (Yada),록/메탈
57,58,2000,91322,1,보내고,YB,록/메탈
58,59,2000,1483086,1,사랑해,김경호,록/메탈
59,60,2000,1786642,1,1,조pd (ZoPD),랩/힙합
60,61,2000,86327,1,서방님,이소은,발라드
61,62,2000,72505,1,아침,유리상자,발라드
62,63,2000,33042,1,You,두리안,댄스
63,64,2000,1576735,1,Ver.),조규만,발라드
64,65,2000,84229,1,Way,허니 패밀리,랩/힙합
65,66,2000,78554,1,(哀戀),컨츄리 꼬꼬,발라드
66,67,2000,85707,1,일,박효신,"발라드, 댄스, R&B/Soul"
67,68,2000,81919,1,바램,백지영,발라드
68,69,2000,38521,1,U,김종서,록/메탈
69,70,2000,66138,1,부탁,안재욱,발라드
70,71,2000,27676,1,되면,안치환,포크/블루스
71,72,2000,875894,1,Re-Mix),조성모,댄스
72,73,2000,85291,1,Winwin,브로스,랩/힙합
73,74,2000,82602,1,슬픔,Y2K,록/메탈
74,75,2000,32588,1,약속,류시원,발라드
75,1,2000,85674,2,영원,스카이,"발라드, 록/메탈"
76,2,2000,607552,2,가시나무,조성모,발라드
77,3,2000,85257,2,바꿔,이정현,댄스
78,4,2000,86166,2,Day,플라이 투 더 스카이,R&B/Soul
79,5,2000,1564057,2,Believe,이수영,발라드
80,6,2000,85258,2,와,이정현,댄스
81,7,2000,9879,2,飛上(비상),주석,랩/힙합
82,8,2000,489869,2,연가,유승준,댄스
83,9,2000,85900,2,고백,박혜경,록/메탈
84,10,2000,62185,2,크로스,엄정화,댄스
85,11,2000,1606631,2,Lover,터보,댄스
86,12,2000,86327,2,서방님,이소은,발라드
87,13,2000,86104,2,Paradoxxx,업타운,랩/힙합
88,14,2000,3105064,2,21C,엑스틴,랩/힙합
89,15,2000,1087403,2,가니,진주,발라드
90,16,2000,91325,2,애수(哀愁),god,댄스
91,17,2000,85707,2,일,박효신,"발라드, 댄스, R&B/Soul"
92,18,2000,91321,2,미련,KYT (코요태),댄스
93,19,2000,91322,2,보내고,YB,록/메탈
94,20,2000,38210,2,이해할께,김현성,발라드
95,21,2000,85843,2,시간,핑클 (Fin.K.L),댄스
96,22,2000,38542,2,꼭!,김건모,댄스
97,23,2000,86076,2,가까이,샵,댄스
98,24,2000,85508,2,처(處),정선연,발라드
99,25,2000,494157,2,알아요,양파,발라드
100,26,2000,104677,2,각인,서문탁,록/메탈
101,27,2000,1139376,2,상처,조성모,댄스
102,28,2000,37992,2,Day,김장훈,발라드
103,29,2000,8473,2,랄랄라,긱스,록/메탈
104,30,2000,72505,2,아침,유리상자,발라드
105,31,2000,1483086,2,사랑해,김경호,록/메탈
106,32,2000,1698078,2,이소라),이문세,발라드
107,33,2000,1576735,2,Ver.),조규만,발라드
108,34,2000,85311,2,나비,자우림,록/메탈
109,35,2000,85844,2,Day,포지션,록/메탈
110,36,2000,1079496,2,약속,유영석,발라드
111,37,2000,1816948,2,Heaven,조성모,발라드
112,38,2000,1516879,2,남자,스페이스 에이,댄스
113,39,2000,84209,2,경고,타샤니,랩/힙합
114,40,2000,85402,2,떠난후...,포지션,록/메탈
115,41,2000,1734400,2,(타이틀),조관우,발라드
116,42,2000,86668,2,연인(我戀),임창정,발라드
117,43,2000,86575,2,D.Bace),이현도,랩/힙합
118,44,2000,91324,2,기억해,god,발라드
119,45,2000,85422,2,샤랄라,S.E.S.,댄스
120,46,2000,38541,2,부메랑,김건모,발라드
121,47,2000,81919,2,바램,백지영,발라드
122,48,2000,83192,2,Zone,S.E.S.,댄스
123,49,2000,34093,2,끝,김태영,발라드
124,50,2000,82424,2,Ⅲ,K2 김성면,록/메탈
125,51,2000,84845,2,사랑,박완규,록/메탈
126,52,2000,611100,2,그대로,이소라,발라드
127,53,2000,85426,2,Baby,S.E.S.,댄스
128,54,2000,621665,2,Baby,S.E.S.,댄스
129,55,2000,33108,2,진실,델리스파이스,"인디음악, 록/메탈"
130,56,2000,607443,2,Sheep),H.O.T.,댄스
131,57,2000,1816950,2,사랑,조성모,발라드
132,58,2000,480245,2,Will,유승준,댄스
133,59,2000,85022,2,Face,엔알지 (NRG),댄스
134,60,2000,84779,2,Up!),H.O.T.,댄스
135,61,2000,86939,2,나,엔알지 (NRG),댄스
136,62,2000,104083,2,있을지라도,김광민,뉴에이지
137,1,2000,86668,3,연인(我戀),임창정,발라드
138,2,2000,607552,3,가시나무,조성모,발라드
139,3,2000,1606631,3,Lover,터보,댄스
140,4,2000,91325,3,애수(哀愁),god,댄스
141,5,2000,86575,3,D.Bace),이현도,랩/힙합
142,6,2000,85900,3,고백,박혜경,록/메탈
143,7,2000,86166,3,Day,플라이 투 더 스카이,R&B/Soul
144,8,2000,85258,3,와,이정현,댄스
145,9,2000,34093,3,끝,김태영,발라드
146,10,2000,85707,3,일,박효신,"발라드, 댄스, R&B/Soul"
147,11,2000,86327,3,서방님,이소은,발라드
148,12,2000,987282,3,가시나무,시인과 촌장,발라드
149,13,2000,1564057,3,Believe,이수영,발라드
150,14,2000,81713,3,Rain,이적,발라드
151,15,2000,91322,3,보내고,YB,록/메탈
152,16,2000,489869,3,연가,유승준,댄스
153,17,2000,32495,3,뭐길래,량현량하,댄스
154,18,2000,62185,3,크로스,엄정화,댄스
155,19,2000,33108,3,진실,델리스파이스,"인디음악, 록/메탈"
156,20,2000,85678,3,반전(反轉),스카이,록/메탈
157,21,2000,38542,3,꼭!,김건모,댄스
158,22,2000,494157,3,알아요,양파,발라드
159,23,2000,1079496,3,약속,유영석,발라드
160,24,2000,85257,3,바꿔,이정현,댄스
161,25,2000,1087403,3,가니,진주,발라드
162,26,2000,26822,3,Come),샤크라,댄스
163,27,2000,9879,3,飛上(비상),주석,랩/힙합
164,28,2000,72505,3,아침,유리상자,발라드
165,29,2000,75233,3,Rhapsody,최재훈,록/메탈
166,30,2000,898145,3,윤사라),조규찬,발라드
167,31,2000,1576735,3,Ver.),조규만,발라드
168,32,2000,86104,3,Paradoxxx,업타운,랩/힙합
169,33,2000,1483086,3,사랑해,김경호,록/메탈
170,34,2000,46218,3,누군가처럼,신승훈,발라드
171,35,2000,88423,3,Love,윤현석,발라드
172,36,2000,1594157,3,You,조성모,"발라드, 국내드라마"
173,37,2000,91321,3,미련,KYT (코요태),댄스
174,38,2000,85311,3,나비,자우림,록/메탈
175,39,2000,85843,3,시간,핑클 (Fin.K.L),댄스
176,40,2000,86078,3,You,샵,댄스
177,41,2000,104677,3,각인,서문탁,록/메탈
178,42,2000,86076,3,가까이,샵,댄스
179,43,2000,85508,3,처(處),정선연,발라드
180,44,2000,37756,3,그대도...내게도...,에코,발라드
181,45,2000,84209,3,경고,타샤니,랩/힙합
182,46,2000,85402,3,떠난후...,포지션,록/메탈
183,47,2000,85674,3,영원,스카이,"발라드, 록/메탈"
184,48,2000,38210,3,이해할께,김현성,발라드
185,49,2000,1516879,3,남자,스페이스 에이,댄스
186,50,2000,1564058,3,Love,이수영,발라드
187,51,2000,1139376,3,상처,조성모,댄스
188,52,2000,37992,3,Day,김장훈,발라드
189,53,2000,8473,3,랄랄라,긱스,록/메탈
190,54,2000,1698078,3,이소라),이문세,발라드
191,55,2000,39017,3,쇼크,구피,댄스
192,56,2000,1709640,3,구하기(Remix),허니 패밀리,-
