,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2019,32143487,11,Love poem,아이유,록/메탈
1,2,2019,32156286,11,늦은 밤 너의 집 앞 골목길에서,노을,발라드
2,3,2019,32061975,11,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),발라드
3,4,2019,32128104,11,"인기 (Feat. 송가인, 챈슬러)",MC몽,랩/힙합
4,5,2019,32091557,11,새 사랑,송하예,발라드
5,6,2019,32003395,11,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"록/메탈, 국내드라마"
6,7,2019,32130396,11,불티 (Spark),태연 (TAEYEON),댄스
7,8,2019,32059630,11,조금 취했어 (Prod. 2soo),임재현,"발라드, 인디음악"
8,9,2019,32034629,11,사랑이란 멜로는 없어,전상근,발라드
9,10,2019,32085144,11,있어줘요,장덕철,"발라드, 인디음악"
10,11,2019,32183386,11,Blueming,아이유,록/메탈
11,12,2019,32171791,11,이 번호로 전화해줘,바이브,발라드
12,13,2019,31984204,11,안녕,폴킴,"발라드, 국내드라마"
13,14,2019,31853557,11,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"R&B/Soul, 인디음악"
14,15,2019,32128105,11,샤넬 (Feat. 박봄),MC몽,랩/힙합
15,16,2019,31703498,11,시든 꽃에 물을 주듯,HYNN (박혜원),발라드
16,17,2019,31788850,11,니 소식,송하예,발라드
17,18,2019,32038651,11,워커홀릭,볼빨간사춘기,"인디음악, 록/메탈"
18,19,2019,31873020,11,포장마차,황인욱,발라드
19,20,2019,32175937,11,HIP,마마무(Mamamoo),댄스
20,21,2019,32081871,11,허전해,폴킴,R&B/Soul
21,22,2019,31029291,11,2002,Anne-Marie,POP
22,23,2019,32031043,11,가을밤 떠난 너,케이시 (Kassy),발라드
23,24,2019,31967064,11,기억해줘요 내 모든 날과 그때를,거미,"발라드, 국내드라마"
24,25,2019,32142272,11,이별주,황인욱,발라드
25,26,2019,32091434,11,떨어지는 낙엽까지도,헤이즈 (Heize),R&B/Soul
26,27,2019,31324607,11,사랑에 연습이 있었다면 (Prod. 2soo),임재현,발라드
27,28,2019,31877297,11,Señorita,Shawn MendesCamila Cabello,POP
28,29,2019,31829536,11,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),발라드
29,30,2019,31870517,11,술이 문제야,장혜진윤민수(바이브),발라드
30,31,2019,32028531,11,헤어지자 (Prod. 정키),휘인 (Whee In),발라드
31,32,2019,30962526,11,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
32,33,2019,31737197,11,작은 것들을 위한 시 (Boy With Luv) feat. Halsey,방탄소년단,댄스
33,34,2019,32021744,11,다시 만날까 봐,V.O.S,발라드
34,35,2019,32125782,11,LION,(여자)아이들,댄스
35,36,2019,31938460,11,그대라는 시,태연 (TAEYEON),"발라드, 국내드라마"
36,37,2019,31701428,11,bad guy,Billie Eilish,POP
37,38,2019,32140355,11,이별은 늘 그렇게 (Duet. 정은지),허각,발라드
38,39,2019,32057802,11,Feel Special,TWICE (트와이스),댄스
39,40,2019,32153755,11,5월의 밤,Zion.T,발라드
40,41,2019,32182535,11,시간의 바깥,아이유,록/메탈
41,42,2019,31854689,11,BAND,창모 (CHANGMO)Hash SwanASH ISLAND김효은,랩/힙합
42,43,2019,32128107,11,내 생애 가장 행복한 시간 Part.2 (Feat. 양다일),MC몽,랩/힙합
43,44,2019,31388145,11,너를 만나,폴킴,발라드
44,45,2019,32073454,11,우리 어떻게 할까요,첸 (CHEN),발라드
45,46,2019,31688205,11,사계 (Four Seasons),태연 (TAEYEON),발라드
46,47,2019,31901475,11,헤어져줘서 고마워,벤,발라드
47,48,2019,32048693,11,가끔 이러다,펀치 (Punch),R&B/Soul
48,49,2019,31341518,11,Paris In The Rain,Lauv,POP
49,50,2019,32006650,11,벗,닐로(Nilo),발라드
50,51,2019,32071685,11,"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",지코 (ZICO),랩/힙합
51,52,2019,32183384,11,unlucky,아이유,록/메탈
52,53,2019,31938046,11,나의 어깨에 기대어요,10cm,"발라드, 국내드라마"
53,54,2019,31815967,11,Speechless (Full),Naomi Scott,"POP, 국외영화"
54,55,2019,8119658,11,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),"발라드, 인디음악"
55,56,2019,31854442,11,솔직하게 말해서 나,김나영,발라드
56,57,2019,32080223,11,이별행동,이우,발라드
57,58,2019,31524320,11,그때가 좋았어,케이시 (Kassy),발라드
58,59,2019,32136650,11,영화 속에 나오는 주인공처럼,펀치 (Punch),"발라드, 국내드라마"
59,60,2019,31804010,11,너에게 못했던 내 마지막 말은,다비치,발라드
60,61,2019,31983112,11,내 목소리 들리니,벤,"발라드, 국내드라마"
61,62,2019,31684636,11,노래방에서,장범준,록/메탈
62,63,2019,31993173,11,Done For Me,펀치 (Punch),"발라드, 국내드라마"
63,64,2019,32168238,11,차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN (박혜원),발라드
64,65,2019,31929663,11,내 안부,이우,발라드
65,66,2019,31666417,11,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
66,67,2019,30227238,11,Believer,Imagine Dragons,"POP, 록/메탈"
67,68,2019,32183385,11,그 사람,아이유,록/메탈
68,69,2019,32071687,11,사람,지코 (ZICO),랩/힙합
69,70,2019,32153603,11,축제,멜로망스,"발라드, 인디음악"
70,71,2019,31952592,11,내 맘을 볼 수 있나요,헤이즈 (Heize),"발라드, 국내드라마"
71,72,2019,31706215,11,사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN),발라드
72,73,2019,30244931,11,봄날,방탄소년단,랩/힙합
73,74,2019,32180585,11,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)",Idina MenzelAurora,"POP, 애니메이션/웹툰, 키즈, 만화"
74,75,2019,32149755,11,FLOWER SHOWER,현아,댄스
75,76,2019,8235260,11,비,폴킴,R&B/Soul
76,77,2019,32183387,11,자장가,아이유,록/메탈
77,78,2019,32130404,11,Gravity,태연 (TAEYEON),발라드
78,79,2019,31754579,11,FANCY,TWICE (트와이스),댄스
79,80,2019,31914848,11,인사,멜로망스,"발라드, 인디음악"
80,81,2019,31955739,11,ICY,ITZY (있지),댄스
81,82,2019,32091615,11,호랑이소굴 (Feat. Jvcki Wai),기리보이,랩/힙합
82,83,2019,31266290,11,IDOL,방탄소년단,랩/힙합
83,84,2019,32012356,11,날라리 (LALALAY),선미,댄스
84,85,2019,31532642,11,사계 (하루살이),엠씨더맥스,발라드
85,86,2019,31879867,11,Snapping,청하,댄스
86,87,2019,31893681,11,괜찮아도 괜찮아 (That`s okay),디오 (D.O.),R&B/Soul
87,88,2019,31949142,11,가라사대,BewhY (비와이),랩/힙합
88,89,2019,32014102,11,나빠(NAPPA),Crush,R&B/Soul
89,90,2019,32141931,11,남겨짐에 대해 (Feat. 다운),지코 (ZICO),랩/힙합
90,91,2019,32073457,11,널 안지 않을 수 있어야지,첸 (CHEN),발라드
91,92,2019,32006890,11,"담아 (Feat. 염따, pH-1) (Prod. BOYCOLD)",스윙스Kid Milli매드클라운,랩/힙합
92,93,2019,32159599,11,을 (Feat. BIG Naughty (서동현)),기리보이,랩/힙합
93,94,2019,31856628,11,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이,랩/힙합
94,95,2019,32125783,11,우린 결국 다시 만날 운명이었지 (Destiny),마마무(Mamamoo),댄스
95,96,2019,32128108,11,온도 (Feat. 수란),MC몽,랩/힙합
96,97,2019,32061976,11,달,AKMU (악동뮤지션),발라드
97,98,2019,32170701,11,운명이 내게 말해요,헤이즈 (Heize),"R&B/Soul, 국내드라마"
98,99,2019,31924110,11,Another Day,먼데이 키즈 (Monday Kiz)펀치 (Punch),"발라드, 국내드라마"
99,100,2019,32012743,11,FLASH,X1 (엑스원),댄스
