,year,month,애시드/퓨전/팝,드라마OST,클래식,인디음악,영화OST,발라드,댄스,록/메탈,R&B/Soul,일렉트로니카,랩/힙합,EDM,POP,J-POP,성인가요,재즈,뉴에이지,포크/블루스,만화/게임OST,-
0,2000,01,0,0,0,0,0,27,22,15,3,0,8,0,0,0,0,0,1,1,0,1
1,2000,02,0,0,0,1,0,23,22,12,2,0,5,0,0,0,0,0,1,0,0,0
2,2000,03,0,1,0,1,0,28,18,12,2,0,5,0,0,0,0,0,0,0,0,1
3,2000,04,0,1,0,1,0,28,22,11,3,0,5,0,0,0,0,0,0,0,0,0
4,2000,05,0,1,0,0,0,30,22,9,5,0,8,0,0,0,0,0,0,0,0,0
5,2000,06,0,1,0,0,0,24,25,6,5,0,6,0,0,0,0,0,0,0,0,0
6,2000,07,0,1,1,0,0,16,24,8,5,0,4,0,0,0,0,0,0,0,0,0
7,2000,08,0,1,0,0,2,22,33,9,4,0,3,0,0,0,0,0,0,0,0,0
8,2000,09,0,1,0,1,1,21,21,13,5,0,5,0,0,0,0,0,0,0,0,0
9,2000,10,0,1,0,2,1,25,21,13,5,0,5,0,0,0,1,0,0,1,0,0
10,2000,11,0,1,0,1,0,24,23,14,5,0,4,0,0,0,1,0,0,2,0,0
11,2000,12,0,1,0,0,0,23,20,14,4,0,2,0,0,0,0,0,0,2,0,0
12,2001,01,0,1,0,0,0,23,18,17,5,0,3,0,0,0,0,0,0,1,0,0
13,2001,02,0,1,0,0,0,24,17,16,5,0,3,0,0,0,0,0,0,1,0,0
14,2001,03,0,2,0,0,0,23,16,9,4,0,5,0,0,0,0,0,0,1,0,1
15,2001,04,0,1,0,0,0,30,15,11,5,0,6,0,0,0,0,0,0,0,0,1
16,2001,05,0,1,0,0,0,28,17,7,6,0,6,0,0,0,0,0,1,0,0,2
17,2001,06,0,1,0,1,0,27,19,7,7,0,6,0,0,0,0,0,1,0,0,3
18,2001,07,0,0,0,1,0,25,22,8,4,0,5,0,0,0,0,0,0,0,0,1
19,2001,08,0,0,0,1,0,23,24,8,4,0,4,0,0,0,0,0,0,1,0,0
20,2001,09,0,0,0,2,1,26,20,6,7,0,4,0,0,0,0,0,0,1,0,0
21,2001,10,0,0,0,2,1,24,14,9,5,0,5,0,0,0,0,0,0,1,0,0
22,2001,11,0,0,0,2,1,28,14,11,5,0,5,0,0,0,0,0,0,0,0,0
23,2001,12,0,1,0,2,1,36,10,12,5,0,5,0,0,0,0,0,0,0,0,1
24,2002,01,0,1,0,2,0,31,11,12,4,0,6,0,0,0,0,0,0,0,0,1
25,2002,02,0,1,0,2,0,29,12,10,4,0,7,0,0,0,0,0,0,0,0,0
26,2002,03,0,1,0,1,0,32,10,7,2,0,6,0,0,0,0,0,0,0,0,0
27,2002,04,0,0,0,0,0,32,12,7,2,0,6,0,0,0,0,0,0,0,0,0
28,2002,05,0,1,0,0,0,33,15,8,3,0,5,0,0,0,0,0,0,0,0,0
29,2002,06,0,2,0,1,0,28,15,10,2,0,3,0,0,0,0,0,0,0,0,0
30,2002,07,0,2,0,1,0,27,15,11,2,0,4,0,0,0,0,0,0,0,0,0
31,2002,08,0,3,0,1,0,22,15,10,3,0,4,0,0,0,0,0,0,0,0,0
32,2002,09,0,3,0,1,1,25,20,11,5,0,4,0,0,0,0,0,0,1,0,0
33,2002,10,0,1,0,2,2,24,18,12,5,0,2,0,0,0,0,0,0,1,0,0
34,2002,11,0,0,0,3,2,25,12,11,4,0,4,0,0,0,0,0,0,1,0,0
35,2002,12,0,0,0,5,0,31,14,12,7,0,2,0,0,0,0,0,0,2,0,1
36,2003,01,0,0,0,5,0,27,10,11,7,0,3,0,0,0,0,0,0,3,0,1
37,2003,02,0,1,0,5,1,31,13,11,6,0,3,0,0,0,0,0,0,1,0,1
38,2003,03,0,1,0,5,2,34,12,9,6,0,3,0,0,0,0,0,0,1,0,0
39,2003,04,0,1,0,4,2,35,11,10,5,0,2,0,0,0,0,0,0,0,0,0
40,2003,05,0,1,0,1,1,38,10,10,5,0,3,0,0,0,0,0,0,0,0,0
41,2003,06,0,1,0,1,0,34,9,9,5,0,6,0,0,0,0,0,0,0,0,0
42,2003,07,0,1,0,2,0,29,14,11,5,0,5,0,0,0,0,0,0,1,0,0
43,2003,08,0,1,0,2,0,22,15,11,6,0,6,0,0,0,0,0,0,1,0,0
44,2003,09,0,4,0,4,0,20,15,12,6,0,6,0,0,0,1,0,0,2,0,0
45,2003,10,0,4,0,3,0,22,13,11,5,0,7,0,0,0,1,0,0,2,0,0
46,2003,11,0,3,0,2,0,24,14,11,9,0,5,0,0,0,1,0,0,2,0,0
47,2003,12,0,3,0,1,0,28,11,10,9,0,9,0,0,0,1,0,0,1,0,0
48,2004,01,0,3,0,2,0,28,11,5,11,0,5,0,1,0,0,0,0,1,0,0
49,2004,02,0,4,0,2,0,38,8,10,10,0,7,0,1,0,1,0,0,0,0,0
50,2004,03,0,1,0,1,0,33,6,10,8,0,7,0,1,0,1,0,0,0,0,0
51,2004,04,0,1,0,2,0,38,8,9,10,0,6,0,1,0,0,0,0,0,0,0
