,rank,year,month,song_id
0,1,2000,1,38541
1,2,2000,1,85257
2,3,2000,1,91324
3,4,2000,1,85674
4,5,2000,1,91320
5,6,2000,1,1139376
6,7,2000,1,1564057
7,8,2000,1,83192
8,9,2000,1,85844
9,10,2000,1,489866
10,11,2000,1,37992
11,12,2000,1,611100
12,13,2000,1,1087403
13,14,2000,1,38210
14,15,2000,1,86166
15,16,2000,1,621665
16,17,2000,1,1816948
17,18,2000,1,62185
18,19,2000,1,3105064
19,20,2000,1,1734400
20,21,2000,1,86076
21,22,2000,1,86104
22,23,2000,1,8473
23,24,2000,1,91317
24,25,2000,1,494157
25,26,2000,1,85854
26,27,2000,1,480245
27,28,2000,1,85900
28,29,2000,1,85311
29,30,2000,1,84845
30,31,2000,1,422691
31,32,2000,1,84779
32,33,2000,1,104677
33,34,2000,1,1516879
34,35,2000,1,611574
35,36,2000,1,489869
36,37,2000,1,1816950
37,38,2000,1,104083
38,39,2000,1,84207
39,40,2000,1,105690
40,41,2000,1,81926
41,42,2000,1,85843
42,43,2000,1,88292
43,44,2000,1,104673
44,45,2000,1,1698079
45,46,2000,1,85022
46,47,2000,1,83646
47,48,2000,1,83693
48,49,2000,1,607443
49,50,2000,1,1514177
50,51,2000,1,85258
51,52,2000,1,82424
52,53,2000,1,84209
53,54,2000,1,9879
54,55,2000,1,1698078
55,56,2000,1,85508
56,57,2000,1,86004
57,58,2000,1,91322
58,59,2000,1,1483086
59,60,2000,1,1786642
60,61,2000,1,86327
61,62,2000,1,72505
62,63,2000,1,33042
63,64,2000,1,1576735
64,65,2000,1,84229
65,66,2000,1,78554
66,67,2000,1,85707
67,68,2000,1,81919
68,69,2000,1,38521
69,70,2000,1,66138
70,71,2000,1,27676
71,72,2000,1,875894
72,73,2000,1,85291
73,74,2000,1,82602
74,75,2000,1,32588
75,1,2000,2,85674
76,2,2000,2,607552
77,3,2000,2,85257
78,4,2000,2,86166
79,5,2000,2,1564057
80,6,2000,2,85258
81,7,2000,2,9879
82,8,2000,2,489869
83,9,2000,2,85900
84,10,2000,2,62185
85,11,2000,2,1606631
86,12,2000,2,86327
87,13,2000,2,86104
88,14,2000,2,3105064
89,15,2000,2,1087403
90,16,2000,2,91325
91,17,2000,2,85707
92,18,2000,2,91321
93,19,2000,2,91322
94,20,2000,2,38210
95,21,2000,2,85843
96,22,2000,2,38542
97,23,2000,2,86076
98,24,2000,2,85508
99,25,2000,2,494157
100,26,2000,2,104677
101,27,2000,2,1139376
102,28,2000,2,37992
103,29,2000,2,8473
104,30,2000,2,72505
105,31,2000,2,1483086
106,32,2000,2,1698078
107,33,2000,2,1576735
108,34,2000,2,85311
109,35,2000,2,85844
110,36,2000,2,1079496
111,37,2000,2,1816948
112,38,2000,2,1516879
113,39,2000,2,84209
114,40,2000,2,85402
115,41,2000,2,1734400
116,42,2000,2,86668
117,43,2000,2,86575
118,44,2000,2,91324
119,45,2000,2,85422
120,46,2000,2,38541
121,47,2000,2,81919
122,48,2000,2,83192
123,49,2000,2,34093
124,50,2000,2,82424
125,51,2000,2,84845
126,52,2000,2,611100
127,53,2000,2,85426
128,54,2000,2,621665
129,55,2000,2,33108
130,56,2000,2,607443
131,57,2000,2,1816950
132,58,2000,2,480245
133,59,2000,2,85022
134,60,2000,2,84779
135,61,2000,2,86939
136,62,2000,2,104083
137,1,2000,3,86668
138,2,2000,3,607552
139,3,2000,3,1606631
140,4,2000,3,91325
141,5,2000,3,86575
142,6,2000,3,85900
143,7,2000,3,86166
144,8,2000,3,85258
145,9,2000,3,34093
146,10,2000,3,85707
147,11,2000,3,86327
148,12,2000,3,987282
149,13,2000,3,1564057
150,14,2000,3,81713
151,15,2000,3,91322
152,16,2000,3,489869
153,17,2000,3,32495
154,18,2000,3,62185
155,19,2000,3,33108
156,20,2000,3,85678
157,21,2000,3,38542
158,22,2000,3,494157
159,23,2000,3,1079496
160,24,2000,3,85257
161,25,2000,3,1087403
162,26,2000,3,26822
163,27,2000,3,9879
164,28,2000,3,72505
165,29,2000,3,75233
166,30,2000,3,898145
167,31,2000,3,1576735
168,32,2000,3,86104
169,33,2000,3,1483086
170,34,2000,3,46218
171,35,2000,3,88423
172,36,2000,3,1594157
173,37,2000,3,91321
174,38,2000,3,85311
175,39,2000,3,85843
176,40,2000,3,86078
177,41,2000,3,104677
178,42,2000,3,86076
179,43,2000,3,85508
180,44,2000,3,37756
181,45,2000,3,84209
182,46,2000,3,85402
183,47,2000,3,85674
184,48,2000,3,38210
185,49,2000,3,1516879
186,50,2000,3,1564058
187,51,2000,3,1139376
188,52,2000,3,37992
189,53,2000,3,8473
190,54,2000,3,1698078
191,55,2000,3,39017
192,56,2000,3,1709640
193,57,2000,3,1734400
194,58,2000,3,37990
195,59,2000,3,85422
196,60,2000,3,8472
197,61,2000,3,3105064
198,62,2000,3,611115
199,63,2000,3,1816948
200,1,2000,4,46218
201,2,2000,4,85707
202,3,2000,4,38558
203,4,2000,4,26822
204,5,2000,4,85900
205,6,2000,4,607552
206,7,2000,4,34093
207,8,2000,4,75233
208,9,2000,4,87019
209,10,2000,4,82594
210,11,2000,4,86668
211,12,2000,4,86857
212,13,2000,4,91325
213,14,2000,4,987282
214,15,2000,4,81713
215,16,2000,4,86575
216,17,2000,4,86327
217,18,2000,4,37516
218,19,2000,4,88423
219,20,2000,4,1606631
220,21,2000,4,87039
221,22,2000,4,1140592
222,23,2000,4,39017
223,24,2000,4,87707
224,25,2000,4,1564058
225,26,2000,4,91322
226,27,2000,4,85258
227,28,2000,4,37756
228,29,2000,4,86166
229,30,2000,4,1079496
230,31,2000,4,91327
231,32,2000,4,86128
232,33,2000,4,37990
233,34,2000,4,85678
234,35,2000,4,32495
235,36,2000,4,1576735
236,37,2000,4,38542
237,38,2000,4,85253
238,39,2000,4,8472
239,40,2000,4,2962362
240,41,2000,4,91326
241,42,2000,4,88429
242,43,2000,4,1483086
243,44,2000,4,84209
244,45,2000,4,1087406
245,46,2000,4,85257
246,47,2000,4,62185
247,48,2000,4,91321
248,49,2000,4,494157
249,50,2000,4,33108
250,51,2000,4,1606633
251,52,2000,4,86132
252,53,2000,4,4067
253,54,2000,4,86078
254,55,2000,4,86168
255,56,2000,4,898145
256,57,2000,4,1087403
257,58,2000,4,32497
258,59,2000,4,87186
259,60,2000,4,87307
260,61,2000,4,72505
261,62,2000,4,85311
262,63,2000,4,1516879
263,64,2000,4,494157
264,65,2000,4,4050182
265,66,2000,4,489869
266,67,2000,4,1594157
267,1,2000,5,91327
268,2,2000,5,27232
269,3,2000,5,38558
270,4,2000,5,91326
271,5,2000,5,91329
272,6,2000,5,87019
273,7,2000,5,87307
274,8,2000,5,1140592
275,9,2000,5,3824
276,10,2000,5,37516
277,11,2000,5,75233
278,12,2000,5,82594
279,13,2000,5,34093
280,14,2000,5,88429
281,15,2000,5,86980
282,16,2000,5,87039
283,17,2000,5,85707
284,18,2000,5,494157
285,19,2000,5,88423
286,20,2000,5,610483
287,21,2000,5,4067
288,22,2000,5,91014
289,23,2000,5,1606633
290,24,2000,5,2962362
291,25,2000,5,86132
292,26,2000,5,86857
293,27,2000,5,1564058
294,28,2000,5,86168
295,29,2000,5,505165
296,30,2000,5,2222185
297,31,2000,5,445159
298,32,2000,5,4050182
299,33,2000,5,26837
300,34,2000,5,87596
301,35,2000,5,37756
302,36,2000,5,26822
303,37,2000,5,32497
304,38,2000,5,39017
305,39,2000,5,1576735
306,40,2000,5,79621
307,41,2000,5,3680
308,42,2000,5,8472
309,43,2000,5,3676
310,44,2000,5,86327
311,45,2000,5,46218
312,46,2000,5,75203
313,47,2000,5,86336
314,48,2000,5,85108
315,49,2000,5,610605
316,50,2000,5,85900
317,51,2000,5,87707
318,52,2000,5,38426
319,53,2000,5,607552
320,54,2000,5,91322
321,55,2000,5,1087406
322,56,2000,5,987282
323,57,2000,5,88501
324,58,2000,5,81713
325,59,2000,5,85257
326,60,2000,5,91309
327,61,2000,5,38542
328,62,2000,5,1483086
