,rank,year,month,song_id
0,1,2003,5,420522
1,2,2003,5,447863
2,3,2003,5,451066
3,4,2003,5,429656
4,5,2003,5,439346
5,6,2003,5,444798
6,7,2003,5,451816
7,8,2003,5,450178
8,9,2003,5,1726654
9,10,2003,5,444956
10,11,2003,5,418254
11,12,2003,5,420424
12,13,2003,5,420037
13,14,2003,5,447642
14,15,2003,5,445413
15,16,2003,5,439947
16,17,2003,5,418072
17,18,2003,5,445151
18,19,2003,5,1765866
19,20,2003,5,430341
20,21,2003,5,441286
21,22,2003,5,443515
22,23,2003,5,430909
23,24,2003,5,430908
24,25,2003,5,441007
25,26,2003,5,455260
26,27,2003,5,454477
27,28,2003,5,452849
28,29,2003,5,418990
29,30,2003,5,440982
30,31,2003,5,315861
31,32,2003,5,455208
32,33,2003,5,418596
33,34,2003,5,317801
34,35,2003,5,316434
35,36,2003,5,317027
36,37,2003,5,417893
37,38,2003,5,419762
38,39,2003,5,419999
39,40,2003,5,417924
40,41,2003,5,419764
41,42,2003,5,417895
42,43,2003,5,441219
43,44,2003,5,421385
44,45,2003,5,417935
45,46,2003,5,1185432
46,47,2003,5,420248
47,48,2003,5,430981
48,49,2003,5,451843
49,50,2003,5,452397
50,51,2003,5,431898
51,52,2003,5,317027
52,53,2003,5,445158
53,54,2003,5,421423
54,55,2003,5,105885
55,56,2003,5,314448
56,57,2003,5,444957
57,58,2003,5,2032205
58,59,2003,5,316664
59,60,2003,5,317152
60,61,2003,5,418168
61,62,2003,5,419791
62,63,2003,5,419131
63,64,2003,5,418848
64,65,2003,5,422606
65,66,2003,5,421030
